Plate,Brand,Model,Battery
2205 DXN,Renault,Clio,85
2198 GCG,Honda,Accord,38
7448 LCK,Honda,Civic,90
5029 JMB,Hyundai,Tucson,37
6348 DRH,Audi,A4,86
6960 BCR,Audi,Q5,63
5034 CPK,Hyundai,Tucson,40
4721 FBC,Hyundai,i20,21
0699 PWT,Hyundai,Tucson,28
7729 BMR,Mercedes-Benz,GLC,71
9302 WZH,Ford,Fiesta,85
0637 CDN,Peugeot,3008,23
4237 NSR,Honda,Civic,80
8658 VHZ,Audi,A4,49
6136 XYD,Volkswagen,Passat,88
0402 MMR,Audi,A3,99
6497 RMM,Peugeot,2008,23
6606 WTR,BMW,M3,100
5399 XJK,Peugeot,208,75
8074 WHC,BMW,X5,40
4467 TLM,Renault,Kadjar,65
9347 JPL,Audi,Q5,39
8225 LJC,BMW,X5,87
5431 LWM,Renault,Kadjar,59
0977 LMC,Toyota,Corolla,66
2354 ZMJ,Volkswagen,Polo,76
0635 ZMX,Peugeot,308,64
0724 RZV,Toyota,RAV4,71
0386 FXN,Honda,Civic,69
9682 VHM,Audi,Q5,72
8545 YDD,Ford,Fiesta,52
3724 MNK,Toyota,RAV4,77
0834 MSF,Renault,Kadjar,27
5060 TGG,Renault,Megane,30
1671 XHC,Honda,HR-V,43
6329 RWB,Honda,CR-V,47
3152 MNP,Renault,Clio,76
8524 YRD,BMW,M3,97
7075 JNV,Toyota,Yaris,69
3373 ZBX,Honda,Accord,22
9508 ZYZ,Peugeot,2008,60
7033 XTP,Audi,A4,93
6542 NXF,Audi,A3,62
0433 PDZ,Toyota,RAV4,98
3256 FNG,Toyota,RAV4,65
3760 KZG,BMW,X5,58
1123 XLX,Renault,Captur,58
1613 RJL,Honda,Civic,84
2385 XDY,Audi,Q7,65
9128 VLS,Toyota,Corolla,65
8211 YGJ,Hyundai,Tucson,29
7685 SBR,BMW,X5,33
9794 ZVL,BMW,X3,50
7391 XTL,Renault,Captur,83
7990 GSW,Renault,Kadjar,64
8965 MDW,Mercedes-Benz,GLC,52
9798 LMD,Toyota,Corolla,90
6411 YSY,Mercedes-Benz,E-Class,58
7587 DKB,BMW,i3,76
9591 GRM,Peugeot,2008,64
6631 YCK,Renault,Captur,87
4178 NJW,Hyundai,i30,38
7155 XHF,Peugeot,2008,30
3784 BBB,Honda,CR-V,92
9876 HRW,BMW,X5,40
8903 FJT,Ford,Fiesta,28
8036 LPT,Audi,A3,78
1311 CVR,Honda,HR-V,26
9823 MLN,Honda,HR-V,88
1636 ZRP,Peugeot,3008,34
8763 CYV,Mercedes-Benz,GLA,63
4782 XKY,Peugeot,3008,69
4423 ZBN,Hyundai,Tucson,67
4293 XDY,Hyundai,Santa Fe,95
1991 LKS,Hyundai,i20,47
4063 YDN,Toyota,Corolla,44
5333 PHY,Peugeot,308,97
8825 LMM,Audi,A4,51
9332 DZN,Volkswagen,Tiguan,28
0205 XBF,Mercedes-Benz,GLA,21
5681 YXS,Mercedes-Benz,GLC,70
4459 XSV,Honda,CR-V,81
2403 BHW,Peugeot,208,22
4758 LCL,Audi,A3,86
4334 YVB,Hyundai,i20,24
3402 CLN,Mercedes-Benz,GLA,97
4395 MKP,Honda,HR-V,49
4263 GHR,Toyota,Prius,26
4943 PTY,Audi,Q7,66
8819 RGD,Volkswagen,Tiguan,54
8437 DNT,Audi,A4,74
5671 TXD,Mercedes-Benz,E-Class,56
4265 PYS,Peugeot,308,37
5117 BNL,Mercedes-Benz,GLA,87
5407 FTP,Mercedes-Benz,GLA,72
5286 WZD,BMW,i3,28
4722 LWR,Ford,Mustang,98
8287 SLP,BMW,X3,25
7363 YVT,Ford,Focus,83
2193 WCB,Honda,CR-V,79
2600 CGH,BMW,i3,67
6912 VBC,Ford,Explorer,92
7936 JSM,Honda,HR-V,94
5674 RTK,BMW,X5,55
2522 HLL,Mercedes-Benz,GLC,75
1541 HGC,Volkswagen,Golf,80
2231 DDT,BMW,M3,45
4134 PWK,Mercedes-Benz,GLA,43
4664 HRG,Audi,A3,55
9184 JSS,Peugeot,2008,94
0167 XTJ,Honda,Civic,74
8721 TCR,Toyota,RAV4,90
4436 BMT,BMW,X5,90
8841 ZFN,Hyundai,i30,38
3623 MSN,Ford,Explorer,79
7196 NYB,Ford,Explorer,72
8239 DDS,Peugeot,308,86
2684 XZK,Audi,Q5,100
9916 FYJ,Hyundai,i30,41
1308 PDH,Peugeot,3008,97
1702 FDZ,Renault,Captur,97
8720 VTV,Audi,A4,74
7826 GYX,BMW,X5,72
7536 WNG,Peugeot,208,68
9549 GWL,Peugeot,308,97
0161 XGN,Hyundai,Tucson,28
3452 YGH,Ford,Focus,33
3829 KTR,Hyundai,i30,51
1423 RZN,Audi,Q5,64
1732 WYY,Honda,HR-V,50
3827 CJC,Renault,Captur,88
8320 CYK,Ford,Explorer,52
1133 FVC,BMW,M3,42
2026 KZZ,Honda,Civic,60
2444 ZBL,Hyundai,i20,83
0066 WRT,Volkswagen,Polo,55
4464 MWL,Renault,Clio,25
3027 ZTK,Mercedes-Benz,GLC,57
5765 DFN,BMW,M3,85
2185 BPY,BMW,X3,65
2083 SYX,Volkswagen,Polo,87
5770 CXJ,Honda,HR-V,49
8250 FBC,Volkswagen,Tiguan,37
9914 KGB,Toyota,Yaris,30
7992 WWF,Mercedes-Benz,C-Class,85
5855 JHP,Honda,HR-V,34
8668 WCF,Hyundai,Tucson,27
7866 DYH,Peugeot,208,46
5321 SNV,Volkswagen,Golf,63
7583 TGX,Audi,Q7,25
6526 XYC,Audi,Q5,90
2824 MBG,Mercedes-Benz,E-Class,100
0646 SVG,Mercedes-Benz,E-Class,33
6359 XWZ,Volkswagen,Passat,42
9065 RFK,Audi,A4,94
4807 TLK,Ford,Mustang,47
4008 ZWJ,Peugeot,208,76
4633 YTC,Renault,Captur,35
6223 VWR,Volkswagen,Passat,71
4806 BKV,Peugeot,308,75
1316 TNR,Hyundai,i30,67
8229 SJT,Volkswagen,Golf,28
2495 YRX,Toyota,Prius,100
4881 PWL,Ford,Focus,36
0714 NVX,Honda,CR-V,96
8403 NWZ,BMW,X3,70
8197 FBF,Audi,A4,30
4348 GTC,Peugeot,3008,52
5614 FDS,Toyota,RAV4,90
2764 NSK,Peugeot,3008,82
8197 GZF,Mercedes-Benz,C-Class,34
7363 LMP,Peugeot,308,35
0108 NFT,Renault,Captur,79
0251 CBW,Peugeot,3008,75
4883 MPX,BMW,X5,90
7842 RZX,Toyota,Yaris,54
1887 MSP,Ford,Explorer,22
7531 PZW,Mercedes-Benz,C-Class,54
5498 NDL,Hyundai,Santa Fe,47
1149 MZN,Peugeot,208,51
6261 SHT,Volkswagen,Tiguan,69
5658 VRW,Volkswagen,Polo,95
4182 YJB,Honda,HR-V,41
0150 ZTK,BMW,M3,40
0040 VWP,Audi,A4,45
7760 KMR,Peugeot,3008,60
1631 JDV,BMW,X3,73
0655 JBR,Honda,HR-V,50
5778 TNZ,Mercedes-Benz,GLA,92
4945 XNS,Peugeot,2008,21
1191 NWG,Peugeot,308,28
3242 CKR,Ford,Fiesta,97
9790 YRH,Peugeot,2008,59
5726 LGJ,Toyota,RAV4,74
9439 MSM,BMW,X3,87
2249 KKY,Ford,Explorer,90
5032 WBD,Volkswagen,Golf,31
4808 FDS,BMW,i3,100
2367 SFM,Mercedes-Benz,GLC,100
2609 WXW,Mercedes-Benz,GLA,61
0245 HXG,BMW,X3,73
2051 CLR,Ford,Explorer,85
2974 WBY,Ford,Focus,51
8286 RVW,BMW,X5,80
7698 WWC,Ford,Explorer,55
6814 CBK,Volkswagen,Passat,36
2995 NRW,Hyundai,i30,72
2308 FKN,Ford,Focus,28
0980 KXC,Audi,Q7,65
8559 ZMH,Ford,Explorer,68
4919 BDG,Honda,Civic,85
5309 WDF,Peugeot,3008,59
6706 TBB,Hyundai,i20,36
6793 TPY,Hyundai,Santa Fe,85
5694 BHL,Ford,Explorer,47
4658 SGD,Ford,Explorer,25
8089 DGW,Audi,Q7,59
3873 KVJ,Audi,A3,72
8280 PMH,Honda,CR-V,77
7071 PDJ,Toyota,Prius,75
1794 MHY,Toyota,Prius,70
3472 ZTD,Renault,Clio,58
3702 VVF,BMW,X5,31
5086 LCP,Ford,Explorer,99
4560 GWR,Volkswagen,Tiguan,28
1797 BPN,Toyota,Corolla,92
0478 JLB,Volkswagen,Tiguan,36
7951 DLK,Honda,Accord,40
9842 BMW,Peugeot,3008,38
5681 TDG,Mercedes-Benz,E-Class,37
3600 PBV,Mercedes-Benz,C-Class,44
0071 CDM,Renault,Kadjar,91
9797 ZKS,Ford,Fiesta,55
7519 WDR,Renault,Kadjar,57
8367 VZN,Volkswagen,Polo,67
7480 BMP,Audi,A3,46
8642 VMY,Ford,Mustang,39
2135 LBC,Hyundai,Tucson,63
6580 CJF,Mercedes-Benz,E-Class,41
0452 NPH,Volkswagen,Tiguan,43
0903 XPL,BMW,M3,68
3276 NTH,Renault,Clio,45
9571 KCZ,Hyundai,Tucson,45
1203 DCF,BMW,X5,49
1475 MSZ,Audi,Q7,67
5477 BBJ,Hyundai,Santa Fe,80
9513 DGM,Toyota,Corolla,75
5145 PYC,Toyota,Corolla,29
6514 FMR,Renault,Clio,64
6639 CSY,Ford,Fiesta,35
4896 RFT,Hyundai,i20,67
7271 CRR,Renault,Clio,35
2343 HTM,Renault,Kadjar,86
5307 WGB,Honda,Accord,99
4375 NBG,BMW,i3,77
8506 YVY,Volkswagen,Polo,55
1770 NWB,Peugeot,308,62
4117 WJX,BMW,X5,74
9946 XZC,BMW,i3,84
8034 THT,Mercedes-Benz,E-Class,75
8380 KGF,Audi,Q7,71
3675 NKL,Renault,Clio,44
0976 LLR,Audi,A4,41
0308 ZTS,Renault,Captur,63
8381 MXR,Ford,Focus,77
9442 YRT,Audi,A3,77
1052 MNN,Audi,Q7,49
9300 RKH,Audi,A3,46
8405 YZG,Renault,Kadjar,77
3684 FLH,Renault,Megane,59
4444 JWX,Mercedes-Benz,E-Class,41
6344 VML,Volkswagen,Polo,71
4909 MHW,Honda,CR-V,56
9167 XWC,Peugeot,208,72
5127 ZTR,Audi,Q7,57
4592 DSD,BMW,i3,51
9639 RTF,Peugeot,208,95
2644 BXM,BMW,M3,67
9839 SMT,Toyota,Corolla,85
5891 VMS,Peugeot,208,31
2429 CKS,Mercedes-Benz,GLA,22
0119 XHJ,Honda,CR-V,56
3678 SFK,Honda,Civic,31
9903 CTG,Audi,Q5,24
5203 MWY,Volkswagen,Passat,22
3056 MFD,Renault,Kadjar,34
0051 LKG,Ford,Focus,100
2654 VXH,BMW,X5,98
9661 TNK,Mercedes-Benz,C-Class,90
3978 JPL,Renault,Captur,85
1546 WBY,Toyota,RAV4,93
2255 YLT,Ford,Mustang,32
8579 RKR,Peugeot,308,35
1970 LJT,BMW,X3,26
1206 YXP,Ford,Explorer,79
1433 YVX,Hyundai,Santa Fe,94
0351 MDV,Volkswagen,Passat,52
7886 PKY,Audi,A3,46
2858 LMF,BMW,X5,95
2261 XND,Mercedes-Benz,C-Class,27
9233 VVZ,Mercedes-Benz,GLC,55
8133 WBG,Volkswagen,Passat,62
3185 KVK,Volkswagen,Polo,100
6041 HWB,Honda,HR-V,36
7939 RHJ,Mercedes-Benz,E-Class,52
9032 DYN,Renault,Clio,48
7339 CVN,Volkswagen,Polo,57
7635 YKJ,Ford,Focus,93
1222 MFC,Hyundai,Santa Fe,93
2178 ZRS,Hyundai,Santa Fe,51
4785 PMY,Hyundai,i20,59
2881 BPH,Hyundai,Tucson,21
8848 BFV,Renault,Kadjar,45
7176 HVD,Renault,Kadjar,82
4388 DZV,Peugeot,208,91
5142 FXX,Hyundai,i30,80
0188 FZP,BMW,X3,42
7204 LYT,Renault,Clio,24
5188 NXB,Peugeot,2008,80
8396 ZFD,Ford,Fiesta,50
0719 FBF,Hyundai,i20,70
0510 LHW,BMW,X5,91
5092 LZT,Audi,Q5,25
1184 MYC,Volkswagen,Passat,93
3321 DKR,Honda,Accord,88
8600 GVN,BMW,i3,49
2329 PSY,Audi,Q5,28
2993 YYN,Ford,Mustang,62
6726 PPD,Toyota,RAV4,92
1072 DVG,Mercedes-Benz,C-Class,93
7586 WDZ,Volkswagen,Polo,72
8260 SXW,BMW,X3,69
0308 WPT,Volkswagen,Passat,49
8437 BWM,Audi,Q7,58
1845 XWC,Volkswagen,Tiguan,98
3749 PLB,Volkswagen,Passat,99
1117 NJY,Volkswagen,Passat,69
4530 HCM,BMW,i3,29
9393 PGD,Audi,Q7,35
4371 JYS,Volkswagen,Passat,20
3312 TPH,Audi,A4,81
3111 ZTC,Renault,Kadjar,84
3529 BSL,Hyundai,Tucson,56
2291 PNC,Audi,Q5,85
3705 CWG,Hyundai,Santa Fe,86
3548 NPG,Mercedes-Benz,GLA,57
8463 VNR,Honda,Accord,41
0436 MRX,Peugeot,3008,30
8014 XZN,Honda,Accord,100
7019 KWR,Peugeot,208,90
9244 DXS,Audi,Q5,36
6633 FRP,Renault,Clio,87
1904 CCX,Renault,Captur,54
4736 FZV,Volkswagen,Passat,96
2283 NJH,Audi,Q5,22
3937 FLP,Hyundai,Tucson,92
1377 VND,Ford,Focus,32
7072 KGL,Toyota,Corolla,92
1750 BLG,Honda,Accord,95
6004 YTD,Volkswagen,Passat,62
5883 XYV,Toyota,RAV4,21
6287 JLM,Peugeot,208,96
9981 DXC,Peugeot,308,30
5229 CMT,Peugeot,2008,92
1463 MYK,Honda,CR-V,93
5187 TCX,Honda,Civic,81
3414 ZXN,Renault,Clio,71
6844 PGT,Mercedes-Benz,C-Class,72
3114 LDS,Toyota,Corolla,37
6995 BVM,Toyota,Prius,36
9520 XZJ,Peugeot,308,24
8285 BXG,Ford,Fiesta,20
8827 DYN,Renault,Kadjar,40
0960 LNV,Audi,Q5,32
9766 JZG,Honda,Civic,24
9449 LKC,Renault,Kadjar,61
1125 RRN,Ford,Explorer,38
2997 GCX,Hyundai,Tucson,30
1268 YTL,Toyota,Yaris,79
5068 NSN,Renault,Captur,48
5170 FSW,Volkswagen,Tiguan,26
1912 NGR,Volkswagen,Golf,88
9620 CZZ,Audi,Q5,73
4793 JXL,Peugeot,2008,40
7693 ZKC,Mercedes-Benz,GLC,43
9834 RSP,Volkswagen,Passat,34
8847 WRN,BMW,M3,49
8604 WYT,BMW,M3,25
2646 KRR,Toyota,Prius,37
2634 ZKW,Renault,Megane,93
5763 KFY,Mercedes-Benz,GLA,48
9378 TSB,Renault,Captur,44
3101 DLF,Toyota,Yaris,54
4680 SMZ,Mercedes-Benz,E-Class,40
0567 VMP,Peugeot,208,30
0759 ZKN,Volkswagen,Golf,34
1166 BHF,Volkswagen,Passat,51
1341 CYR,Renault,Clio,58
3327 RZF,Audi,A4,55
0318 FKJ,Hyundai,Tucson,48
3275 LNZ,Audi,A4,74
7117 JWC,Volkswagen,Passat,35
3713 WJB,Renault,Megane,79
2104 NKS,Ford,Explorer,74
5455 DRT,Mercedes-Benz,C-Class,70
0979 RMH,Hyundai,i30,30
5404 KRF,Peugeot,308,21
4539 VVS,Toyota,Yaris,38
2857 WWB,Volkswagen,Golf,37
6862 YDS,Volkswagen,Passat,95
4456 JPK,Mercedes-Benz,E-Class,89
7681 GWB,Mercedes-Benz,GLC,47
9070 WHB,Ford,Explorer,63
8046 YLM,Hyundai,i20,93
4606 MYC,Renault,Clio,41
1328 RDB,BMW,X3,98
5697 RMZ,Hyundai,i30,68
9938 XFH,Volkswagen,Passat,30
6308 YHL,Peugeot,2008,29
6554 JZB,Renault,Captur,51
2247 DBF,Ford,Focus,65
3954 HMH,Volkswagen,Polo,31
3824 MZY,Mercedes-Benz,E-Class,66
7123 KWH,Mercedes-Benz,GLC,87
0273 LWY,Toyota,Yaris,55
8806 BDM,Peugeot,3008,93
8582 BLC,Honda,CR-V,72
4456 HLD,Volkswagen,Tiguan,49
4488 ZPY,Renault,Kadjar,20
8732 FHT,Ford,Focus,33
8787 VLJ,Honda,Accord,86
2015 GXG,Toyota,RAV4,78
0663 ZNV,Peugeot,308,38
6042 DWV,Renault,Kadjar,73
9673 TJP,Renault,Clio,73
6386 DRH,Peugeot,3008,57
0702 MCS,Toyota,Corolla,69
2480 SJK,Peugeot,2008,20
0077 SLX,Audi,Q5,82
3492 WYD,Audi,A4,28
0596 JSR,Renault,Kadjar,87
5395 NCM,Mercedes-Benz,GLA,24
7595 SVP,BMW,i3,91
1063 NWX,Toyota,RAV4,77
1711 RZY,Hyundai,i30,56
4496 LBR,Peugeot,2008,60
1534 CRD,Toyota,Yaris,71
1663 HNR,Volkswagen,Polo,62
0842 WCG,Peugeot,3008,88
1004 GFD,Ford,Explorer,95
9407 JZD,Toyota,Corolla,83
6306 MJB,Toyota,Corolla,55
4673 WGS,Volkswagen,Golf,22
1238 MSD,Peugeot,308,36
4459 VJH,Toyota,Corolla,28
4480 WPB,BMW,X3,56
3247 PZL,Hyundai,i30,46
3192 RSD,Ford,Fiesta,90
1995 NHP,Toyota,Yaris,22
0540 RKG,Ford,Focus,64
1045 CJY,Renault,Megane,38
9593 XJK,Mercedes-Benz,C-Class,22
9724 JJZ,Honda,HR-V,33
3106 DYL,Hyundai,i30,61
6594 PFZ,Volkswagen,Polo,32
1285 HKY,BMW,X5,44
7133 DCH,Honda,HR-V,38
0702 RZK,Audi,A3,92
9698 XHM,Honda,Civic,70
0350 CGS,Peugeot,208,80
9138 RRV,Volkswagen,Polo,41
2933 HLT,Renault,Clio,81
8010 WVV,Hyundai,Santa Fe,88
0134 DJV,Honda,HR-V,88
2486 LHN,Audi,A3,76
8794 PDL,Peugeot,208,39
1333 RKG,Mercedes-Benz,E-Class,25
7409 SLX,Audi,A3,79
2322 BDT,BMW,X3,95
6975 MTG,Toyota,Corolla,93
1662 BSS,Peugeot,308,89
9360 FKB,Volkswagen,Tiguan,52
0296 SZX,Volkswagen,Tiguan,27
7423 KKK,Ford,Fiesta,82
4813 TBX,BMW,M3,88
4249 CVY,Mercedes-Benz,GLA,41
5394 MKS,Ford,Fiesta,98
5908 SMC,Peugeot,308,52
1111 ZHJ,Honda,CR-V,52
1447 MWK,Ford,Fiesta,93
6278 JNC,Honda,Civic,67
6023 HCR,Hyundai,i30,60
3900 GNY,Volkswagen,Passat,40
6269 BLB,Peugeot,208,51
4906 GWS,Ford,Explorer,46
0672 SXH,Peugeot,208,77
0495 PWM,Volkswagen,Passat,45
0993 TBN,Peugeot,308,83
0836 XLJ,Ford,Mustang,76
1066 YTH,Toyota,Corolla,36
0688 TDB,Renault,Megane,27
3633 VNY,Toyota,RAV4,42
9607 ZZP,Hyundai,i20,24
1037 LBW,Audi,A4,87
2134 NNK,Hyundai,Santa Fe,57
0312 FXR,Hyundai,Tucson,45
6036 MHP,Peugeot,3008,63
7104 NWH,Hyundai,Santa Fe,77
6010 NWC,Hyundai,Santa Fe,39
1682 PDP,BMW,X3,20
3932 XTD,Audi,Q7,69
3579 YJF,Volkswagen,Tiguan,63
2976 JRX,Renault,Kadjar,35
7127 JMK,Mercedes-Benz,C-Class,30
9834 MFL,Audi,A4,84
5355 KSN,Audi,Q7,27
4909 NRR,Peugeot,3008,53
7794 BMF,Peugeot,208,30
7659 XWP,Honda,CR-V,79
8834 BDV,Peugeot,208,20
4032 RDT,Toyota,RAV4,35
1070 ZCS,Audi,A3,75
1708 YBF,Hyundai,Santa Fe,34
7293 JPN,BMW,X3,70
1096 JWV,BMW,i3,87
9077 SWS,Honda,Accord,83
3649 PTJ,Audi,A3,77
4323 VSX,Honda,Accord,39
8363 YFP,Hyundai,Tucson,64
0593 CHK,Renault,Captur,31
7767 LTL,Mercedes-Benz,GLA,60
4357 NVN,Hyundai,i30,44
7829 VGG,Peugeot,308,50
1942 TBS,Volkswagen,Tiguan,53
0337 WBL,Renault,Kadjar,75
9589 YWH,Toyota,Corolla,45
4074 CKK,Honda,CR-V,37
3529 MKS,Hyundai,i20,50
3203 WJG,Mercedes-Benz,C-Class,95
5329 RBM,Volkswagen,Passat,27
6104 WTG,Toyota,RAV4,96
1947 PHZ,Toyota,RAV4,58
9011 GZY,Audi,A3,53
8769 FGP,Hyundai,Tucson,47
8173 DST,Hyundai,i30,43
0444 VBG,Mercedes-Benz,E-Class,96
1096 JLR,BMW,i3,65
6273 NYS,Toyota,Prius,81
2582 MZX,BMW,M3,21
6771 HVC,Volkswagen,Passat,86
7526 LXC,BMW,X3,30
9132 DCY,Mercedes-Benz,GLA,53
2555 XFT,Mercedes-Benz,E-Class,95
2654 GYK,Hyundai,i20,37
4800 ZSD,Ford,Explorer,80
5216 ZYV,Volkswagen,Passat,92
4958 ZNJ,Volkswagen,Tiguan,23
0852 PHV,Volkswagen,Tiguan,31
9438 ZJF,Honda,Civic,37
7910 RXP,Hyundai,i20,63
3190 MWL,Hyundai,Tucson,86
6517 DKT,Renault,Clio,67
1435 HXS,Hyundai,i20,25
7267 GDF,Toyota,Yaris,39
8781 NNN,Mercedes-Benz,GLC,43
4562 NLK,BMW,X3,64
0981 NTJ,Volkswagen,Golf,23
7258 GBP,Ford,Explorer,56
5665 KWV,Honda,CR-V,31
7209 LWS,BMW,i3,29
1277 LZM,Toyota,Corolla,95
1294 JPW,Renault,Captur,81
2500 VZP,BMW,X5,46
8529 SVL,Mercedes-Benz,GLA,47
7861 JBJ,BMW,M3,30
3623 KDN,BMW,i3,72
0042 PGX,Peugeot,208,89
9128 PTG,Renault,Kadjar,32
7623 ZTC,Renault,Clio,29
2378 KPJ,BMW,M3,47
4085 SWG,Peugeot,208,81
1034 XYH,BMW,M3,82
6434 KBC,Volkswagen,Polo,92
2212 DCV,BMW,X3,25
9112 FCN,Mercedes-Benz,C-Class,99
9228 VWY,Toyota,Yaris,43
1841 GYK,Toyota,Prius,29
6277 BLT,Volkswagen,Passat,95
7541 GWN,Renault,Clio,96
2187 KMN,Ford,Fiesta,88
6789 DDR,Toyota,Prius,30
5074 RSR,Renault,Kadjar,55
0156 JWH,Toyota,RAV4,22
4003 TBF,Mercedes-Benz,GLC,75
3689 ZJZ,Volkswagen,Golf,41
4818 HCK,Audi,Q5,70
1899 MGD,BMW,X5,47
5254 RZX,Renault,Megane,82
5662 RNK,Renault,Kadjar,74
1235 SPB,Renault,Megane,48
0455 ZKX,Audi,Q5,65
2877 SZL,Ford,Explorer,72
5250 NNT,Hyundai,i20,68
7703 TPJ,BMW,i3,26
9685 WDG,BMW,X5,58
2030 TTL,Peugeot,3008,42
1528 HXJ,BMW,X3,41
0282 GVF,Mercedes-Benz,C-Class,93
6761 HLX,Toyota,RAV4,41
5251 VMP,Ford,Fiesta,62
8166 TCG,Toyota,RAV4,54
2423 XJT,Honda,HR-V,52
3334 LKL,Ford,Fiesta,95
2745 MCR,Renault,Kadjar,30
6996 LNJ,Ford,Mustang,80
2344 XKK,Volkswagen,Tiguan,52
6156 YDM,Renault,Kadjar,25
5751 BYY,Peugeot,308,31
7772 NJM,Renault,Megane,82
7082 WPJ,Toyota,Corolla,93
7532 WDL,Honda,CR-V,78
2835 DBP,Ford,Fiesta,54
9414 DRX,Volkswagen,Tiguan,82
2279 SSY,Honda,CR-V,28
9875 LBW,Hyundai,i30,87
8491 KTP,Toyota,Yaris,52
9110 JYG,Toyota,RAV4,97
2101 CMS,Peugeot,308,59
0376 WWM,Honda,Civic,74
5302 HDS,Ford,Explorer,34
5836 PJR,Hyundai,Tucson,48
9602 NDS,Hyundai,i20,88
5794 VDX,Toyota,Corolla,55
3140 NPZ,Toyota,Yaris,24
7876 GFF,Toyota,Yaris,54
3202 HSX,BMW,X3,62
1232 MLM,Mercedes-Benz,E-Class,38
3982 CFW,Ford,Fiesta,64
6100 LGV,Peugeot,308,28
5743 VMF,Audi,A4,48
1915 LTR,Audi,Q5,99
5620 KTB,Ford,Explorer,88
1243 LCX,Honda,HR-V,83
2649 KGK,Renault,Captur,52
8246 XRV,Renault,Clio,78
1112 GHY,Volkswagen,Passat,65
7208 PJZ,Ford,Focus,100
7789 HWS,Volkswagen,Passat,79
2296 GML,Peugeot,3008,82
3040 WRJ,Honda,Civic,51
6353 RSM,Renault,Kadjar,60
7587 CMD,Toyota,Corolla,94
2044 PHC,Renault,Captur,92
0306 LWG,Hyundai,Tucson,73
5523 GSB,Renault,Captur,26
2181 NDJ,Volkswagen,Polo,39
6887 VTC,Toyota,Yaris,55
8676 FXJ,Toyota,Prius,98
3885 NTZ,BMW,X3,60
9868 YNL,Toyota,Prius,69
7911 FHG,Ford,Explorer,66
6585 WCM,Hyundai,i30,69
5921 SZC,Toyota,Yaris,95
2311 FDS,Honda,Accord,77
9982 TKX,Honda,Accord,86
6738 BXJ,Mercedes-Benz,GLC,71
0239 MMK,Hyundai,Tucson,27
3173 KMV,Renault,Megane,38
5554 BXS,Ford,Focus,71
9306 PYV,Peugeot,2008,97
7897 FMP,Toyota,RAV4,47
8600 XTR,Honda,HR-V,88
8147 WKL,Peugeot,308,62
2798 WCN,Ford,Focus,25
4542 WWR,Volkswagen,Golf,29
2094 PKX,Volkswagen,Tiguan,81
2780 RJF,Mercedes-Benz,GLC,78
9912 JJZ,Peugeot,308,28
7285 XYW,Hyundai,i20,62
4586 PXG,Peugeot,308,25
0347 PZR,Toyota,Prius,26
8997 MYW,Peugeot,2008,53
1160 PPF,Toyota,Corolla,49
8214 ZLF,Toyota,RAV4,38
0386 DYN,Ford,Fiesta,21
7235 YRV,Toyota,Prius,60
6466 NFG,Toyota,Yaris,40
8826 JGT,Toyota,Corolla,38
2073 FPB,Mercedes-Benz,E-Class,38
6992 TJX,Volkswagen,Tiguan,37
7147 HFD,Renault,Clio,22
2131 NTY,Honda,HR-V,54
2675 MVF,Renault,Megane,49
7443 XSG,Peugeot,3008,24
5777 CSP,Volkswagen,Polo,62
0616 NWS,Volkswagen,Golf,58
5085 RSR,Renault,Kadjar,44
8673 JCM,Honda,HR-V,25
4353 VNR,Renault,Kadjar,71
7982 PXZ,Peugeot,2008,86
8616 SMC,Hyundai,i30,57
5072 FSR,Ford,Focus,90
8740 MSY,Mercedes-Benz,C-Class,45
7463 DHK,BMW,i3,49
9428 TWV,Audi,A3,47
3712 JLF,Honda,HR-V,22
8617 CZD,Honda,Civic,55
7978 TYR,Mercedes-Benz,C-Class,50
0870 VVV,Renault,Megane,47
9931 LFZ,Hyundai,Santa Fe,79
1871 JVG,Ford,Focus,48
9880 GND,Honda,Civic,72
8045 VKR,Hyundai,i30,61
5109 VML,Honda,HR-V,99
2264 BHR,Toyota,RAV4,23
4093 HSP,Audi,Q5,33
4521 VHV,Hyundai,Santa Fe,76
5571 THX,Renault,Captur,39
2086 VZY,Peugeot,208,64
7921 YWJ,Mercedes-Benz,C-Class,89
3258 CNH,Toyota,RAV4,62
6760 VGX,Hyundai,i20,78
3267 FRT,Volkswagen,Passat,46
4435 DPW,Hyundai,Santa Fe,33
5800 JMZ,Peugeot,308,30
5328 WKP,Ford,Focus,54
6514 RFY,Honda,Civic,75
1333 FBT,Peugeot,3008,90
8716 HXM,BMW,M3,42
6187 DZM,Toyota,Corolla,45
7965 RDR,Honda,HR-V,78
7217 NKG,Honda,Accord,85
4835 KHB,Ford,Mustang,95
7175 BKY,Audi,A3,86
0804 MMM,Audi,A3,33
6091 PSD,Renault,Captur,84
3975 CJH,Renault,Megane,99
2751 WBW,Renault,Captur,61
6489 DNX,Ford,Fiesta,37
3868 NWJ,Audi,Q5,27
0738 KGW,Peugeot,208,66
3641 FRD,Mercedes-Benz,GLA,48
0284 LFJ,Mercedes-Benz,C-Class,53
6450 DYW,Mercedes-Benz,GLA,38
9218 RLJ,BMW,M3,100
9775 HTT,Honda,Accord,48
1212 RNV,Toyota,RAV4,58
4637 PWW,Mercedes-Benz,E-Class,62
1957 BLB,Mercedes-Benz,GLA,22
3304 PGV,Volkswagen,Tiguan,22
